CaseID,trace_act_id,TimeSincePreviousEvent-case_avg_id,Weekday-case_avg,SameDayTime-case_avg_id,Duration_id
2,53,0,1,17,0
3,53,2,3,6,1
4,53,0,3,19,0
5,60,0,1,17,0
6,53,0,1,21,0
8,53,0,3,17,0
9,134,5,4,21,6
10,53,15,4,17,13
11,53,0,3,6,0
14,53,0,1,21,0
16,73,0,3,11,0
17,53,11,2,13,9
19,53,0,4,17,0
21,53,5,3,12,4
22,84,11,0,16,12
24,53,18,1,19,15
25,53,0,3,13,0
26,90,0,3,17,0
27,53,7,3,21,6
29,53,0,0,18,0
30,53,8,0,18,7
32,53,0,2,17,0
35,35,0,2,18,0
36,53,2,1,18,2
37,57,3,3,15,7
38,53,0,1,17,0
40,53,0,3,20,0
41,53,0,1,19,0
42,53,0,3,20,0
43,53,0,1,17,0
44,53,0,1,1,0
45,53,17,4,21,14
47,53,2,2,19,1
48,134,0,3,23,0
49,84,2,4,18,2
50,54,0,0,10,0
51,84,6,0,17,6
52,53,0,3,21,0
53,107,4,3,21,7
55,84,8,0,14,9
56,35,0,0,20,0
57,53,1,1,14,1
59,54,0,2,22,0
60,90,1,2,20,2
61,53,0,4,17,0
62,35,0,0,23,0
64,34,3,4,19,7
66,53,0,1,18,0
67,53,5,1,12,4
68,53,0,2,20,0
70,84,11,1,15,12
71,53,0,2,17,0
72,53,8,1,21,7
73,35,0,1,19,0
74,143,0,4,20,0
75,15,13,4,11,15
76,35,0,2,0,0
78,53,11,1,12,9
80,53,3,4,18,2
81,107,2,1,17,3
84,53,0,4,18,0
85,53,3,4,7,2
86,84,1,4,12,2
87,87,4,0,16,8
88,33,2,4,19,3
90,53,0,2,17,0
91,53,0,1,21,0
92,53,3,1,18,3
93,53,3,0,18,2
94,53,0,2,17,0
95,53,1,0,19,1
96,54,0,1,13,0
98,53,1,3,20,1
99,53,2,2,17,1
101,134,3,1,19,3
102,53,0,0,17,0
103,25,1,0,17,3
104,53,0,3,18,0
108,53,5,2,18,4
109,90,11,0,18,16
110,53,0,3,12,0
111,66,0,1,20,1
112,53,3,4,20,2
113,134,6,1,21,6
116,53,0,4,21,0
117,53,0,4,19,0
118,53,0,0,20,0
119,53,3,0,21,2
120,84,4,1,20,5
121,53,0,2,23,0
122,53,0,1,13,0
123,90,1,4,19,2
124,53,0,4,17,0
125,90,6,3,17,8
126,12,14,0,22,11
127,53,0,4,18,0
128,36,0,0,18,0
130,134,0,3,17,0
132,84,1,3,21,1
133,15,0,2,21,0
134,53,0,1,22,0
135,92,4,3,20,8
136,53,0,2,19,0
137,84,4,4,20,4
138,53,0,4,18,0
139,53,0,0,16,0
141,99,2,2,19,4
142,53,0,2,22,0
146,53,0,1,23,0
148,54,0,1,6,0
149,53,0,3,8,0
150,139,1,2,17,2
151,53,0,2,19,0
152,53,2,4,18,2
153,53,0,0,17,0
155,90,8,1,12,12
157,53,5,1,19,4
158,53,0,1,18,0
159,53,2,2,17,2
160,53,0,4,21,0
161,53,1,1,16,1
162,12,1,4,22,1
163,53,5,2,18,4
164,53,0,1,21,0
165,35,0,5,1,0
166,53,5,2,7,4
167,85,1,0,20,1
168,53,0,0,19,0
170,97,3,3,17,5
171,15,0,1,18,0
172,53,4,0,13,3
173,15,0,0,20,0
174,84,5,0,10,5
175,53,0,1,15,0
176,53,0,1,19,0
177,53,0,2,17,0
178,53,2,2,22,2
179,53,0,3,19,0
180,53,0,3,21,0
181,35,0,3,19,0
182,53,1,0,18,1
183,134,1,0,17,1
185,90,4,2,21,5
186,84,1,4,18,1
187,53,0,2,21,0
188,53,0,0,21,0
189,15,0,1,23,0
190,53,4,1,8,3
194,53,11,0,20,9
195,99,1,2,18,2
196,53,0,3,21,0
197,54,0,0,16,1
198,53,4,3,22,3
199,145,0,2,10,0
200,53,1,0,22,1
201,53,0,0,16,0
203,53,2,4,18,1
204,53,0,1,7,0
205,90,3,1,22,5
206,90,1,4,20,2
207,53,8,0,19,7
208,53,0,1,20,0
209,53,0,2,19,0
211,35,0,3,19,0
212,53,0,0,20,0
213,35,5,1,17,2
214,15,0,2,17,0
215,53,5,1,20,4
216,15,0,2,20,0
217,53,1,4,12,1
218,66,2,5,12,4
219,151,1,1,18,1
220,84,3,3,19,3
221,53,2,0,13,1
222,35,0,2,20,0
223,54,0,5,10,0
224,84,0,0,20,0
225,35,0,3,21,0
226,53,0,1,6,0
227,53,1,1,18,1
228,53,0,3,18,0
229,35,0,2,19,0
231,15,0,3,9,0
234,15,4,2,20,4
236,53,8,0,13,6
238,53,1,1,17,1
239,53,8,3,20,7
240,53,5,2,22,4
241,53,1,0,18,1
242,53,8,2,20,7
243,53,0,2,22,0
244,53,0,3,2,0
245,53,2,0,20,1
246,15,1,1,23,2
247,142,0,4,15,0
248,36,0,2,19,0
249,53,3,2,16,2
250,53,2,2,7,2
251,53,4,1,18,3
252,60,10,0,17,14
254,53,3,1,21,2
255,53,0,1,21,0
256,53,6,3,13,5
257,53,5,2,22,4
258,90,1,3,12,1
259,15,14,2,17,15
260,15,9,0,20,10
261,53,0,0,19,0
263,53,0,3,12,0
264,53,0,4,18,0
266,36,0,2,16,0
267,53,0,3,18,0
268,134,0,4,16,0
269,145,14,0,17,7
270,107,1,4,17,1
271,128,0,0,17,0
272,84,11,2,14,12
273,53,0,4,0,0
274,53,2,3,18,2
275,53,8,0,21,7
276,134,0,1,18,0
277,53,0,1,20,0
278,120,6,0,20,10
279,35,0,4,17,0
280,92,1,1,13,2
281,15,1,0,21,1
283,53,8,0,17,7
284,53,0,1,17,0
285,53,0,3,19,0
287,53,0,1,17,0
288,53,0,3,20,0
289,53,0,1,22,0
290,116,4,3,9,5
291,15,2,2,19,2
292,53,0,3,16,0
293,53,7,4,19,6
294,53,0,4,21,0
295,54,0,2,20,0
297,53,0,3,20,0
298,53,0,2,12,0
300,53,2,3,7,1
301,66,0,3,17,0
302,53,1,5,7,0
303,53,0,0,17,0
304,53,0,3,21,0
305,84,2,0,17,2
306,53,0,0,23,0
307,53,1,0,17,1
309,53,1,0,19,1
310,84,11,3,20,12
311,53,0,1,19,0
312,53,0,2,18,0
314,53,1,0,17,1
315,90,6,1,0,9
316,15,1,0,20,1
318,53,1,0,19,0
319,90,6,2,9,8
320,53,10,1,7,8
321,26,0,4,13,0
322,90,4,1,12,6
324,145,11,0,17,6
325,15,6,2,12,7
327,53,7,3,20,6
328,53,0,1,19,0
329,60,5,2,18,7
330,16,0,4,20,1
334,90,0,1,20,1
335,53,0,0,17,0
336,53,1,4,18,1
338,53,0,4,18,0
339,84,0,1,22,0
340,84,2,2,10,3
341,35,0,2,11,0
342,53,18,2,6,15
344,53,0,4,9,0
347,36,7,4,17,6
350,84,13,2,20,14
351,53,1,3,20,1
352,36,0,1,18,0
353,53,2,1,1,1
354,116,0,2,22,0
355,15,9,0,9,10
356,53,0,2,17,0
357,53,0,3,17,0
358,15,1,1,21,1
359,53,10,4,19,8
360,53,14,2,7,12
362,84,11,1,10,12
363,15,1,2,18,1
365,90,0,2,20,0
366,53,0,1,20,0
368,32,7,2,19,15
369,73,0,3,18,0
371,53,0,3,20,0
372,53,0,3,20,0
373,53,5,4,15,4
375,53,0,3,20,0
376,90,3,0,17,4
377,53,11,0,14,10
379,53,5,0,21,4
381,53,1,3,18,1
385,53,0,3,1,0
386,90,1,1,17,2
387,54,2,2,20,2
388,117,5,1,17,6
389,15,0,1,19,0
390,53,0,0,18,0
391,53,2,1,18,1
392,36,0,0,22,0
393,53,1,4,20,1
394,53,0,4,19,0
395,53,0,3,19,0
396,15,1,3,20,1
397,53,0,4,17,0
398,84,11,2,14,12
400,53,5,1,18,4
401,53,16,3,14,13
403,53,0,2,17,0
404,53,9,3,16,8
405,60,1,0,14,1
406,15,0,3,11,0
409,53,0,1,18,0
410,53,3,1,15,2
411,53,5,1,15,4
413,135,5,4,10,7
415,54,0,1,10,0
416,53,12,4,20,10
417,84,4,2,14,4
418,53,1,0,18,0
419,90,2,4,21,3
420,53,0,2,23,0
422,53,2,0,11,1
423,134,3,3,19,4
424,54,0,0,20,0
425,84,9,0,18,10
426,107,6,1,17,10
427,53,0,4,15,0
428,53,0,1,17,0
429,15,0,1,22,0
430,53,0,1,20,0
431,53,0,4,5,0
432,53,2,4,18,2
434,53,2,2,18,1
436,54,0,1,19,0
437,84,1,1,21,2
439,53,6,2,12,5
440,53,0,1,19,0
442,53,0,5,8,0
443,15,0,3,20,0
444,53,2,0,20,2
445,53,0,0,18,0
448,84,5,1,21,6
449,90,0,2,21,0
450,53,0,3,21,0
451,15,1,2,20,1
452,53,2,0,6,2
453,54,0,2,18,0
454,53,0,2,1,0
455,90,5,2,17,7
457,53,0,2,14,0
458,53,16,1,20,13
459,53,5,1,19,4
460,53,1,0,14,1
461,84,6,2,16,6
462,50,5,1,19,6
463,54,10,2,10,11
464,54,2,4,17,2
465,15,1,1,21,1
466,53,1,4,21,1
468,90,3,3,21,5
469,90,0,0,19,0
471,90,2,4,19,3
472,53,15,0,22,12
473,53,17,0,19,15
475,53,0,2,22,0
476,90,4,3,18,5
477,53,0,2,17,0
478,23,5,3,19,7
479,35,0,1,19,0
481,53,0,2,20,0
482,36,1,0,18,0
483,53,0,2,17,0
485,15,0,0,18,1
486,53,0,0,20,0
488,53,3,1,20,2
489,53,0,3,21,0
490,53,0,1,17,0
491,84,10,0,20,11
492,53,0,3,20,0
493,53,2,1,12,2
494,53,0,2,18,0
495,53,0,3,23,0
497,53,6,2,21,5
498,54,5,1,18,6
499,53,1,4,19,1
500,53,8,1,12,6
501,15,0,0,20,0
502,53,13,0,16,11
503,41,11,2,18,15
505,53,5,4,15,4
508,84,5,3,20,6
509,107,2,0,19,3
510,84,13,0,20,14
511,53,5,4,19,4
512,84,3,3,21,4
513,53,2,2,18,1
514,54,0,4,14,1
515,53,0,3,19,0
516,84,4,0,20,4
517,81,3,2,6,6
518,60,7,4,11,9
519,53,0,4,16,0
520,54,6,2,20,6
521,53,0,1,20,0
522,84,3,0,18,3
524,53,5,1,21,4
526,84,4,0,15,5
528,53,2,2,16,2
531,53,2,1,14,2
533,53,3,1,23,2
534,53,0,1,15,0
535,53,2,1,21,2
536,53,0,3,7,0
537,84,8,4,19,8
538,53,0,3,0,0
539,53,0,2,19,0
540,53,2,2,17,1
541,53,0,1,15,0
542,53,0,0,21,0
543,53,1,4,6,1
544,53,0,2,22,0
545,53,0,3,8,0
546,53,0,4,19,0
547,120,8,2,19,14
548,84,2,4,17,2
549,53,6,2,19,5
550,35,0,4,15,0
551,84,4,2,14,5
552,53,0,0,17,0
