number,SameDayTime-case_avg,SameDayTime-case_avg_id,variant_id,TimeSincePreviousEvent-case_avg_id,Duration_id,TimeSinceCaseStarted-case_avg_id,Weekday-case_avg
INC0000045,30375,8,119,0,0,0,0
INC0000047,30953,8,477,0,0,0,0
INC0000057,17931,4,15,0,0,0,0
INC0000060,36600,10,4,0,0,0,0
INC0000062,41865,11,1052,0,0,0,0
INC0000063,39008,10,29,0,0,0,0
INC0000064,44480,12,166,0,0,0,0
INC0000065,41645,11,1053,0,0,0,0
INC0000066,44175,12,3,0,0,0,0
INC0000067,33780,9,160,0,0,0,0
INC0000070,44558,12,83,0,1,0,0
INC0000071,33780,9,235,0,0,0,1
INC0000073,46190,12,18,0,0,0,0
INC0000074,43300,12,112,1,2,1,0
INC0000076,50320,13,1,0,0,0,0
INC0000077,32390,8,10,0,0,0,0
INC0000079,39180,10,69,0,0,0,0
INC0000080,47902,13,47,0,0,0,0
INC0000083,44232,12,7,0,0,0,0
INC0000084,41150,11,112,1,2,2,0
INC0000085,43770,12,3,0,0,0,0
INC0000086,40713,11,44,0,0,0,0
INC0000087,43935,12,3,0,0,0,0
INC0000088,33460,9,1,0,0,0,0
INC0000089,43674,12,1054,0,0,0,0
INC0000092,36504,10,9,0,0,0,0
INC0000093,34080,9,2,0,0,0,0
INC0000094,44736,12,42,0,1,0,0
INC0000098,40490,11,177,0,0,0,0
INC0000099,33660,9,3,0,0,0,0
INC0000100,44265,12,5,0,0,0,0
INC0000101,38237,10,359,0,0,0,0
INC0000102,51947,14,1055,0,1,0,0
INC0000103,44265,12,3,0,0,0,0
INC0000104,46080,12,1056,0,0,0,0
INC0000105,37132,10,29,0,0,0,0
INC0000110,44415,12,5,0,0,0,0
INC0000111,44430,12,3,0,0,0,0
INC0000112,42810,11,10,0,0,0,2
INC0000113,63204,17,6,0,0,0,2
INC0000114,23040,6,89,0,0,0,1
INC0000115,27420,7,10,0,0,0,1
INC0000116,43290,12,3,0,0,0,0
INC0000119,33840,9,4,0,0,0,1
INC0000121,51580,14,0,0,0,0,0
INC0000122,47808,13,7,0,0,0,0
INC0000123,44730,12,3,0,0,0,0
INC0000124,39420,10,5,0,0,0,0
INC0000125,28629,7,21,0,0,0,1
INC0000126,44805,12,3,0,0,0,0
INC0000128,45994,12,21,0,1,0,0
INC0000129,42918,11,894,0,1,1,1
INC0000130,37910,10,11,0,0,0,0
INC0000131,32790,9,20,0,0,0,0
INC0000132,49810,13,14,0,0,0,0
INC0000134,35532,9,8,0,0,0,0
INC0000135,50490,14,832,0,0,0,0
INC0000137,39675,11,17,0,0,0,0
INC0000139,40630,11,10,0,0,0,0
INC0000140,37757,10,32,0,0,0,0
INC0000141,44835,12,5,0,0,0,0
INC0000146,45135,12,3,0,0,0,0
INC0000147,42351,11,32,0,1,0,0
INC0000148,46140,12,3,0,0,0,0
INC0000149,46170,12,3,0,0,0,0
INC0000152,42192,11,30,0,0,0,1
INC0000153,45270,12,3,0,0,0,0
INC0000155,46410,12,3,0,0,0,0
INC0000156,46485,12,3,0,0,0,0
INC0000158,50060,13,1,0,0,0,0
INC0000159,36820,10,104,0,0,0,0
INC0000160,38340,10,2,0,0,0,0
INC0000161,41176,11,1057,0,1,0,3
INC0000164,56768,15,421,0,0,0,0
INC0000166,54240,15,3,0,0,0,0
INC0000167,39585,10,4,0,0,0,0
INC0000168,35680,9,1,0,0,0,0
INC0000169,50000,13,1,0,0,0,0
INC0000171,50224,13,1050,0,1,0,4
INC0000172,50430,14,1039,0,0,0,0
INC0000173,46238,12,1030,1,2,2,0
INC0000174,27463,7,76,0,0,0,2
INC0000176,50220,13,1,0,0,0,0
INC0000178,41205,11,3,0,0,0,0
INC0000179,36340,10,0,0,0,0,0
INC0000192,40800,11,1,0,0,0,0
INC0000193,51130,14,13,0,0,0,1
INC0000194,41000,11,1,0,0,0,0
INC0000195,48090,13,5,0,0,0,0
INC0000197,44508,12,1038,0,2,1,0
INC0000199,41580,11,2,0,0,0,0
INC0000204,55920,15,119,0,0,0,0
INC0000207,66996,18,7,0,0,0,0
INC0000211,34488,9,9,0,0,0,1
INC0000213,44760,12,0,0,0,0,0
INC0000217,43455,12,814,0,1,0,1
INC0000218,45163,12,213,0,0,0,0
INC0000220,55170,15,59,0,1,0,3
INC0000221,49152,13,8,0,0,0,0
